Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Nikola Mirotic,CHI,3,4,1.3,10.8%,1.00,4,1.3,1,0.3,3,1.0,33.3,33.3,25.0%,0.0%,25.0%,0.0%,50.0%,
JaMychal Green,MEM,15,2,0.1,1.3%,0.50,1,0.1,0,0.0,1,0.1,0.0,0.0,50.0%,0.0%,50.0%,0.0%,50.0%,
Pau Gasol,SAS,26,1,0.0,0.3%,2.00,2,0.1,0,0.0,0,0.0,0.0,0.0,100.0%,0.0%,100.0%,0.0%,100.0%,
Kyle Singler,OKC,3,1,0.3,6.3%,0.00,0,0.0,0,0.0,1,0.3,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Quinn Cook,GSW,6,3,0.5,15.0%,1.33,4,0.7,2,0.3,3,0.5,66.7,66.7,0.0%,0.0%,0.0%,0.0%,66.7%,
Royce ONeale,UTA,17,9,0.5,14.8%,0.00,0,0.0,0,0.0,7,0.4,0.0,0.0,0.0%,22.2%,0.0%,0.0%,0.0%,
Omri Casspi,GSW,24,3,0.1,2.4%,0.67,2,0.1,1,0.0,3,0.1,33.3,33.3,0.0%,0.0%,0.0%,0.0%,33.3%,
Jason Terry,MIL,10,2,0.2,8.3%,2.00,4,0.4,2,0.2,2,0.2,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Montrezl Harrell,LAC,19,3,0.2,3.3%,1.33,4,0.2,2,0.1,3,0.2,66.7,66.7,0.0%,0.0%,0.0%,0.0%,66.7%,
Sam Dekker,LAC,21,1,0.0,1.0%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Kyle O'Quinn,NYK,26,1,0.0,0.6%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Markieff Morris,WAS,19,3,0.2,1.4%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,66.7%,0.0%,0.0%,0.0%,
Tony Parker,SAS,6,35,5.8,62.5%,1.06,37,6.2,17,2.8,29,4.8,58.6,58.6,5.7%,14.3%,5.7%,2.9%,51.4%,89.8
Jeff Green,CLE,27,3,0.1,1.1%,0.67,2,0.1,1,0.0,3,0.1,33.3,33.3,0.0%,0.0%,0.0%,0.0%,33.3%,
