Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Mario Hezonja,ORL,21,2,0.1,2.5%,2.00,4,0.2,2,0.1,2,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Arron Afflalo,ORL,22,2,0.1,2.8%,2.00,4,0.2,1,0.0,1,0.0,100.0,100.0,50.0%,0.0%,50.0%,0.0%,100.0%,
Nikola Mirotic,CHI,3,1,0.3,2.7%,0.00,0,0.0,0,0.0,1,0.3,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Royce ONeale,UTA,17,1,0.1,1.6%,2.00,2,0.1,1,0.1,1,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Quinn Cook,GSW,6,1,0.2,5.0%,2.00,2,0.3,1,0.2,1,0.2,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Tomas Satoransky,WAS,18,3,0.2,3.2%,2.00,6,0.3,1,0.1,1,0.1,100.0,100.0,66.7%,0.0%,33.3%,0.0%,100.0%,
Montrezl Harrell,LAC,19,17,0.9,18.5%,1.47,25,1.3,9,0.5,13,0.7,69.2,69.2,23.5%,0.0%,23.5%,0.0%,76.5%,83.4
JaKarr Sampson,SAC,6,5,0.8,20.0%,1.20,6,1.0,3,0.5,5,0.8,60.0,60.0,0.0%,0.0%,0.0%,0.0%,60.0%,
Miles Plumlee,ATL,8,9,1.1,22.0%,1.22,11,1.4,4,0.5,5,0.6,80.0,80.0,22.2%,22.2%,11.1%,0.0%,66.7%,
Tyler Cavanaugh,ATL,18,7,0.4,8.2%,1.86,13,0.7,6,0.3,7,0.4,85.7,85.7,28.6%,0.0%,28.6%,28.6%,85.7%,
Cory Joseph,IND,27,1,0.0,0.4%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Sam Dekker,LAC,21,11,0.5,11.1%,1.55,17,0.8,8,0.4,10,0.5,80.0,80.0,9.1%,9.1%,9.1%,9.1%,72.7%,91.6
Trey Lyles,DEN,22,9,0.4,6.5%,1.00,9,0.4,4,0.2,8,0.4,50.0,50.0,11.1%,11.1%,11.1%,11.1%,44.4%,
Antonio Blakeney,CHI,11,1,0.1,1.1%,2.00,2,0.2,0,0.0,0,0.0,0.0,0.0,100.0%,0.0%,100.0%,0.0%,100.0%,
DeAndre Bembry,ATL,13,7,0.5,6.4%,0.57,4,0.3,2,0.2,6,0.5,33.3,33.3,0.0%,14.3%,0.0%,0.0%,28.6%,
Reggie Jackson,DET,27,2,0.1,0.5%,2.00,4,0.1,2,0.1,2,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Michael Carter-Williams,CHA,15,6,0.4,5.4%,0.33,2,0.1,0,0.0,5,0.3,0.0,0.0,16.7%,0.0%,16.7%,0.0%,16.7%,
Tyus Jones,MIN,28,1,0.0,0.9%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Tony Parker,SAS,7,2,0.3,3.0%,1.00,2,0.3,1,0.1,2,0.3,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Deyonta Davis,MEM,14,11,0.8,21.6%,0.91,10,0.7,5,0.4,11,0.8,45.5,45.5,0.0%,0.0%,0.0%,0.0%,45.5%,6.0
Mike James,PHX,29,2,0.1,0.5%,1.00,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Guillermo Hernangomez,NYK,14,10,0.7,12.2%,1.40,14,1.0,7,0.5,9,0.6,77.8,77.8,0.0%,10.0%,0.0%,0.0%,70.0%,72.9
Jarrett Jack,NYK,25,1,0.0,0.5%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
J.J. Barea,DAL,28,3,0.1,0.8%,0.67,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,33.3%,0.0%,0.0%,33.3%,
Ron Baker,NYK,9,1,0.1,2.8%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Norman Powell,TOR,21,2,0.1,1.0%,1.00,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Spencer Dinwiddie,BKN,25,3,0.1,0.9%,1.33,4,0.2,2,0.1,3,0.1,66.7,66.7,0.0%,0.0%,0.0%,0.0%,66.7%,
Jameer Nelson,NOP,24,1,0.0,0.6%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
