Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Larry Nance,LAL,15,1,0.1,0.8%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Nikola Mirotic,CHI,3,1,0.3,2.7%,3.00,3,1.0,1,0.3,1,0.3,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Richaun Holmes,PHI,13,1,0.1,1.2%,1.00,1,0.1,0,0.0,0,0.0,0.0,0.0,100.0%,0.0%,100.0%,0.0%,100.0%,
Kyle Singler,OKC,3,3,1.0,18.8%,0.00,0,0.0,0,0.0,3,1.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Quinn Cook,GSW,6,2,0.3,10.0%,0.00,0,0.0,0,0.0,2,0.3,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Draymond Green,GSW,25,1,0.0,0.3%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Royce ONeale,UTA,17,3,0.2,4.9%,0.33,1,0.1,0,0.0,1,0.1,0.0,0.0,33.3%,33.3%,33.3%,0.0%,33.3%,
Tyler Cavanaugh,ATL,18,1,0.1,1.2%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Eric Moreland,DET,23,1,0.0,2.8%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Tony Parker,SAS,7,3,0.4,4.5%,0.00,0,0.0,0,0.0,2,0.3,0.0,0.0,33.3%,0.0%,33.3%,0.0%,0.0%,
Trey Lyles,DEN,22,6,0.3,4.3%,1.33,8,0.4,3,0.1,5,0.2,60.0,80.0,16.7%,0.0%,16.7%,0.0%,50.0%,
Channing Frye,CLE,26,1,0.0,1.0%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Sam Dekker,LAC,21,4,0.2,4.0%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Chris Paul,HOU,11,2,0.2,1.3%,2.50,5,0.5,2,0.2,2,0.2,100.0,125.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Corey Brewer,LAL,26,2,0.1,2.5%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Myles Turner,IND,20,2,0.1,0.7%,2.00,4,0.2,2,0.1,2,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Pau Gasol,SAS,27,2,0.1,0.7%,1.00,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Rondae Hollis-Jefferson,BKN,23,1,0.0,0.3%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Semi Ojeleye,BOS,28,3,0.1,3.5%,1.67,5,0.2,2,0.1,3,0.1,66.7,83.3,0.0%,0.0%,0.0%,0.0%,66.7%,
DeAndre Bembry,ATL,13,7,0.5,6.4%,0.86,6,0.5,2,0.2,4,0.3,50.0,62.5,14.3%,28.6%,14.3%,0.0%,42.9%,
Juan Hernangomez,DEN,14,3,0.2,5.5%,1.00,3,0.2,1,0.1,2,0.1,50.0,75.0,0.0%,33.3%,0.0%,0.0%,33.3%,
Jose Calderon,CLE,19,4,0.2,5.8%,1.25,5,0.3,2,0.1,4,0.2,50.0,62.5,0.0%,0.0%,0.0%,0.0%,50.0%,
