Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Jamel Artis,ORL,5,3,0.6,15.8%,0.67,2,0.4,1,0.2,3,0.6,33.3,33.3,0.0%,0.0%,0.0%,0.0%,33.3%,
Treveon Graham,CHA,21,1,0.0,0.9%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Dante Cunningham,NOP,33,1,0.0,0.5%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Corey Brewer,LAL,33,1,0.0,0.9%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
DeAndre Jordan,LAC,33,2,0.1,0.6%,1.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,50.0%,0.0%,0.0%,50.0%,
Isaiah Canaan,PHX,6,4,0.7,5.7%,1.75,7,1.2,3,0.5,3,0.5,100.0,116.7,0.0%,25.0%,0.0%,0.0%,75.0%,
Jordan Bell,GSW,29,5,0.2,3.6%,0.80,4,0.1,1,0.0,2,0.1,50.0,50.0,20.0%,40.0%,20.0%,0.0%,40.0%,
Davis Bertans,SAS,31,2,0.1,1.7%,1.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,50.0%,0.0%,0.0%,50.0%,
Jordan Mickey,MIA,13,2,0.2,2.7%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Nik Stauskas,BKN,7,2,0.3,3.7%,3.00,6,0.9,2,0.3,2,0.3,100.0,125.0,50.0%,0.0%,50.0%,50.0%,100.0%,
Jamil Wilson,LAC,15,1,0.1,1.1%,2.00,2,0.1,1,0.1,1,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Steven Adams,OKC,30,1,0.0,0.3%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Zach Collins,POR,17,3,0.2,3.4%,0.67,2,0.1,1,0.1,3,0.2,33.3,33.3,0.0%,0.0%,0.0%,0.0%,33.3%,
Wesley Iwundu,ORL,17,5,0.3,7.1%,1.20,6,0.4,3,0.2,4,0.2,75.0,75.0,0.0%,20.0%,0.0%,0.0%,60.0%,
Milos Teodosic,LAC,9,3,0.3,3.0%,1.00,3,0.3,1,0.1,2,0.2,50.0,75.0,0.0%,33.3%,0.0%,0.0%,33.3%,
C.J. Williams,LAC,21,4,0.2,3.8%,1.50,6,0.3,3,0.1,3,0.1,100.0,100.0,0.0%,25.0%,0.0%,0.0%,75.0%,
Kawhi Leonard,SAS,5,13,2.6,21.3%,0.69,9,1.8,4,0.8,13,2.6,30.8,34.6,0.0%,0.0%,0.0%,0.0%,30.8%,18.4
Ron Baker,NYK,15,4,0.3,6.3%,1.75,7,0.5,1,0.1,2,0.1,50.0,75.0,50.0%,0.0%,50.0%,0.0%,75.0%,
Nikola Mirotic,CHI,11,14,1.3,8.8%,1.00,14,1.3,5,0.5,13,1.2,38.5,46.2,7.1%,0.0%,0.0%,0.0%,42.9%,74.6
Danuel House,PHX,7,2,0.3,6.3%,2.50,5,0.7,2,0.3,2,0.3,100.0,125.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Ersan Ilyasova,ATL,23,2,0.1,0.8%,2.00,4,0.2,2,0.1,2,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
James Ennis,MEM,33,2,0.1,1.0%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
David Nwaba,CHI,22,6,0.3,3.7%,0.83,5,0.2,1,0.0,4,0.2,25.0,25.0,33.3%,0.0%,33.3%,0.0%,50.0%,
Tyler Cavanaugh,ATL,22,1,0.0,1.0%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Quinn Cook,GSW,10,2,0.2,6.3%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Royce ONeale,UTA,24,9,0.4,9.9%,0.78,7,0.3,2,0.1,6,0.3,33.3,41.7,11.1%,22.2%,11.1%,0.0%,33.3%,
Omri Casspi,GSW,31,3,0.1,1.7%,2.00,6,0.2,3,0.1,3,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
JaKarr Sampson,SAC,6,2,0.3,8.0%,1.00,2,0.3,0,0.0,1,0.2,0.0,0.0,50.0%,0.0%,50.0%,0.0%,50.0%,
