Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Semi Ojeleye,BOS,28,1,0.0,1.2%,3.00,3,0.1,1,0.0,1,0.0,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Jose Calderon,CLE,19,1,0.1,1.4%,3.00,3,0.2,1,0.1,1,0.1,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Danuel House,PHX,1,1,1.0,25.0%,0.00,0,0.0,0,0.0,1,1.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Quinn Cook,GSW,6,2,0.3,10.0%,2.00,4,0.7,2,0.3,2,0.3,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Kyle Singler,OKC,3,3,1.0,18.8%,1.67,5,1.7,2,0.7,3,1.0,66.7,83.3,0.0%,0.0%,0.0%,0.0%,66.7%,
Kenneth Faried,DEN,23,1,0.0,0.7%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Tony Parker,SAS,7,1,0.1,1.5%,2.00,2,0.3,1,0.1,1,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Royce ONeale,UTA,17,3,0.2,4.9%,0.67,2,0.1,1,0.1,3,0.2,33.3,33.3,0.0%,0.0%,0.0%,0.0%,33.3%,
Jamil Wilson,LAC,7,4,0.6,14.3%,1.25,5,0.7,2,0.3,4,0.6,50.0,62.5,0.0%,0.0%,0.0%,0.0%,50.0%,
Elfrid Payton,ORL,19,1,0.1,0.4%,2.00,2,0.1,1,0.1,1,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Jawun Evans,LAC,18,1,0.1,1.0%,2.00,2,0.1,0,0.0,0,0.0,0.0,0.0,100.0%,0.0%,100.0%,0.0%,100.0%,
DeAndre Bembry,ATL,13,1,0.1,0.9%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
JaKarr Sampson,SAC,6,1,0.2,4.0%,0.00,0,0.0,0,0.0,1,0.2,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jason Terry,MIL,10,1,0.1,4.2%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Kevon Looney,GSW,20,1,0.1,1.6%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Trey Lyles,DEN,22,7,0.3,5.1%,1.14,8,0.4,3,0.1,6,0.3,50.0,66.7,0.0%,14.3%,0.0%,0.0%,42.9%,
Sam Dekker,LAC,21,1,0.0,1.0%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Michael Carter-Williams,CHA,15,1,0.1,0.9%,2.00,2,0.1,0,0.0,0,0.0,0.0,0.0,100.0%,0.0%,100.0%,0.0%,100.0%,
Ricky Rubio,UTA,26,1,0.0,0.3%,3.00,3,0.1,1,0.0,1,0.0,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
John Henson,MIL,24,1,0.0,0.5%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Isaiah Whitehead,BKN,9,1,0.1,1.3%,2.00,2,0.2,1,0.1,1,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
JaMychal Green,MEM,15,3,0.2,2.0%,0.67,2,0.1,1,0.1,1,0.1,100.0,100.0,0.0%,66.7%,0.0%,0.0%,33.3%,
Dwight Howard,CHA,26,1,0.0,0.2%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Chris Paul,HOU,11,2,0.2,1.3%,0.00,0,0.0,0,0.0,2,0.2,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Tyus Jones,MIN,28,3,0.1,2.7%,0.67,2,0.1,1,0.0,2,0.1,50.0,50.0,33.3%,0.0%,33.3%,0.0%,33.3%,
Alex Len,PHX,24,1,0.0,0.5%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Juan Hernangomez,DEN,14,1,0.1,1.8%,3.00,3,0.2,1,0.1,1,0.1,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Channing Frye,CLE,26,6,0.2,5.8%,0.83,5,0.2,2,0.1,5,0.2,40.0,50.0,0.0%,16.7%,0.0%,0.0%,33.3%,
Lance Thomas,NYK,24,1,0.0,0.8%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Tomas Satoransky,WAS,18,5,0.3,5.3%,0.80,4,0.2,2,0.1,4,0.2,50.0,50.0,0.0%,20.0%,0.0%,0.0%,40.0%,
Meyers Leonard,POR,11,2,0.2,3.9%,3.00,6,0.5,2,0.2,2,0.2,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Joel Embiid,PHI,22,8,0.4,1.5%,1.25,10,0.5,4,0.2,8,0.4,50.0,62.5,0.0%,0.0%,0.0%,0.0%,50.0%,
DeAndre Liggins,MIL,22,2,0.1,3.0%,0.50,1,0.0,0,0.0,1,0.0,0.0,0.0,50.0%,0.0%,50.0%,0.0%,50.0%,
David West,GSW,26,5,0.2,3.2%,1.00,5,0.2,2,0.1,2,0.1,100.0,100.0,40.0%,20.0%,40.0%,0.0%,60.0%,
Arron Afflalo,ORL,22,4,0.2,5.6%,1.25,5,0.2,2,0.1,3,0.1,66.7,66.7,25.0%,0.0%,0.0%,0.0%,75.0%,
Ben McLemore,MEM,16,16,1.0,12.9%,0.69,11,0.7,3,0.2,14,0.9,21.4,25.0,12.5%,0.0%,6.3%,0.0%,31.3%,9.9
Rajon Rondo,NOP,14,6,0.4,4.6%,0.33,2,0.1,1,0.1,5,0.4,20.0,20.0,0.0%,16.7%,0.0%,0.0%,16.7%,
Antonio Blakeney,CHI,11,5,0.5,5.4%,0.00,0,0.0,0,0.0,3,0.3,0.0,0.0,0.0%,20.0%,20.0%,0.0%,0.0%,
Shelvin Mack,ORL,21,1,0.0,0.8%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Michael Kidd-Gilchrist,CHA,20,2,0.1,1.1%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Nicolas Batum,CHA,12,30,2.5,19.7%,0.80,24,2.0,6,0.5,25,2.1,24.0,32.0,10.0%,6.7%,10.0%,0.0%,30.0%,22.3
Quincy Acy,BKN,21,2,0.1,1.5%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
