PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Stanley Johnson,DET,12/26/2017,DET vs. IND,W,36,6,1,8,12.5,1,7,14.3,3,4,75.0,2,5,7,1,1,0,1,4,2
Langston Galloway,DET,12/26/2017,DET vs. IND,W,19,7,3,7,42.9,1,4,25.0,0,0,-,0,1,1,0,1,0,0,1,-5
Ish Smith,DET,12/26/2017,DET vs. IND,W,25,12,6,11,54.5,0,0,-,0,0,-,2,0,2,3,0,0,2,3,1
Boban Marjanovic,DET,12/26/2017,DET vs. IND,W,3,6,1,1,100.0,0,0,-,4,4,100.0,0,0,0,0,0,0,0,0,0
Dwight Buycks,DET,12/26/2017,DET vs. IND,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Luke Kennard,DET,12/26/2017,DET vs. IND,W,12,6,2,3,66.7,2,2,100.0,0,0,-,0,2,2,0,0,0,0,1,22
Andre Drummond,DET,12/26/2017,DET vs. IND,W,33,21,9,13,69.2,0,0,-,3,4,75.0,2,16,18,3,1,0,3,2,35
Eric Moreland,DET,12/26/2017,DET vs. IND,W,12,0,0,1,0.0,0,0,-,0,0,-,2,1,3,2,0,1,0,3,-11
Anthony Tolliver,DET,12/26/2017,DET vs. IND,W,17,0,0,3,0.0,0,3,0.0,0,0,-,1,0,1,1,0,0,2,0,-5
Tobias Harris,DET,12/26/2017,DET vs. IND,W,29,30,10,11,90.9,7,8,87.5,3,4,75.0,0,6,6,1,1,0,1,1,29
Henry Ellenson,DET,12/26/2017,DET vs. IND,W,2,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0
Reggie Jackson,DET,12/26/2017,DET vs. IND,W,21,8,4,10,40.0,0,3,0.0,0,0,-,0,3,3,13,0,0,1,0,23
Reggie Bullock,DET,12/26/2017,DET vs. IND,W,29,11,5,13,38.5,1,7,14.3,0,0,-,1,1,2,2,1,0,0,2,29
Reggie Bullock,DET,12/22/2017,DET vs. NYK,W,30,14,6,8,75.0,2,3,66.7,0,0,-,1,5,6,0,1,1,1,1,-13
Andre Drummond,DET,12/22/2017,DET vs. NYK,W,26,18,8,16,50.0,0,0,-,2,4,50.0,7,8,15,1,1,2,2,3,-10
Tobias Harris,DET,12/22/2017,DET vs. NYK,W,41,24,7,16,43.8,3,6,50.0,7,10,70.0,1,2,3,5,0,1,1,1,14
Eric Moreland,DET,12/22/2017,DET vs. NYK,W,22,4,2,4,50.0,0,0,-,0,0,-,2,3,5,0,2,0,0,2,11
Anthony Tolliver,DET,12/22/2017,DET vs. NYK,W,35,12,3,11,27.3,3,10,30.0,3,4,75.0,1,2,3,0,1,1,2,3,-15
Stanley Johnson,DET,12/22/2017,DET vs. NYK,W,20,12,4,8,50.0,2,3,66.7,2,2,100.0,1,2,3,0,2,0,1,0,9
Luke Kennard,DET,12/22/2017,DET vs. NYK,W,18,0,0,3,0.0,0,0,-,0,0,-,0,1,1,1,0,0,0,1,16
Reggie Jackson,DET,12/22/2017,DET vs. NYK,W,28,10,3,12,25.0,0,3,0.0,4,5,80.0,0,4,4,8,0,0,2,0,-4
Ish Smith,DET,12/22/2017,DET vs. NYK,W,20,10,5,10,50.0,0,0,-,0,0,-,2,2,4,4,1,0,2,0,7
Langston Galloway,DET,12/20/2017,DET @ DAL,L,17,2,0,4,0.0,0,3,0.0,2,2,100.0,1,3,4,2,0,0,0,1,-7
Tobias Harris,DET,12/20/2017,DET @ DAL,L,28,10,4,16,25.0,0,4,0.0,2,3,66.7,0,4,4,1,2,0,2,1,-16
Eric Moreland,DET,12/20/2017,DET @ DAL,L,11,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,4,-22
Anthony Tolliver,DET,12/20/2017,DET @ DAL,L,30,18,5,7,71.4,4,6,66.7,4,4,100.0,1,1,2,2,0,0,1,3,-7
Boban Marjanovic,DET,12/20/2017,DET @ DAL,L,14,4,0,4,0.0,0,0,-,4,4,100.0,0,3,3,1,0,0,3,2,1
Ish Smith,DET,12/20/2017,DET @ DAL,L,23,15,7,10,70.0,0,0,-,1,1,100.0,0,4,4,4,0,0,3,0,-10
Reggie Jackson,DET,12/20/2017,DET @ DAL,L,21,6,3,9,33.3,0,3,0.0,0,0,-,0,3,3,5,0,0,1,2,-10
Luke Kennard,DET,12/20/2017,DET @ DAL,L,17,5,2,4,50.0,1,2,50.0,0,0,-,0,1,1,1,1,1,0,0,3
Stanley Johnson,DET,12/20/2017,DET @ DAL,L,28,16,4,7,57.1,2,3,66.7,6,6,100.0,1,1,2,0,1,0,0,2,-14
Andre Drummond,DET,12/20/2017,DET @ DAL,L,22,11,5,7,71.4,0,0,-,1,2,50.0,2,11,13,1,0,1,2,4,10
Henry Ellenson,DET,12/20/2017,DET @ DAL,L,4,2,1,3,33.3,0,1,0.0,0,0,-,1,0,1,0,0,0,0,0,3
Reggie Bullock,DET,12/20/2017,DET @ DAL,L,24,4,2,6,33.3,0,2,0.0,0,0,-,0,0,0,1,0,0,0,0,-16
Eric Moreland,DET,12/17/2017,DET vs. ORL,W,18,6,3,4,75.0,0,0,-,0,0,-,2,6,8,3,1,0,1,2,8
Luke Kennard,DET,12/17/2017,DET vs. ORL,W,15,3,1,5,20.0,1,1,100.0,0,0,-,0,1,1,2,1,1,0,1,-4
Anthony Tolliver,DET,12/17/2017,DET vs. ORL,W,24,17,5,7,71.4,5,7,71.4,2,2,100.0,0,2,2,2,0,0,2,1,6
Reggie Jackson,DET,12/17/2017,DET vs. ORL,W,26,17,7,15,46.7,3,7,42.9,0,0,-,0,3,3,6,0,0,6,3,-8
Langston Galloway,DET,12/17/2017,DET vs. ORL,W,20,11,3,9,33.3,0,5,0.0,5,6,83.3,0,1,1,0,3,0,0,0,9
