TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"
DET

",12/26/2017,DET vs. IND,W,240,107,41,82,50.0,12,34,35.3,13,16,81.3,10,36,46,26,5,1,10,17,24
"
DET

",12/22/2017,DET vs. NYK,W,240,104,38,88,43.2,10,25,40.0,18,25,72.0,15,29,44,19,8,5,11,11,3
"
DET

",12/20/2017,DET @ DAL,L,239,93,33,77,42.9,7,24,29.2,20,22,90.9,6,32,38,19,4,2,12,19,-17
"
DET

",12/17/2017,DET vs. ORL,W,240,114,42,89,47.2,17,34,50.0,13,16,81.3,7,32,39,27,11,3,13,17,4
"
DET

",12/15/2017,DET @ IND,W,240,104,39,93,41.9,13,32,40.6,13,17,76.5,11,33,44,22,7,10,9,21,6
"
DET

",12/14/2017,DET @ ATL,W,240,105,41,90,45.6,13,30,43.3,10,12,83.3,14,32,46,26,10,3,15,23,15
"
DET

",12/12/2017,DET vs. DEN,L,239,84,28,79,35.4,9,25,36.0,19,22,86.4,11,29,40,17,7,2,20,16,-19
"
DET

",12/10/2017,DET vs. BOS,L,240,81,28,84,33.3,10,33,30.3,15,19,78.9,11,35,46,14,7,4,9,16,-10
"
DET

",12/08/2017,DET vs. GSW,L,239,98,38,92,41.3,12,27,44.4,10,19,52.6,15,34,49,20,8,2,11,17,-4
"
DET

",12/06/2017,DET @ MIL,L,240,100,36,87,41.4,10,30,33.3,18,27,66.7,17,29,46,20,5,0,11,20,-4
"
DET

",12/04/2017,DET @ SAS,L,240,93,35,85,41.2,8,27,29.6,15,24,62.5,7,35,42,15,8,2,10,22,-3
"
DET

",12/02/2017,DET @ PHI,L,241,103,34,78,43.6,9,31,29.0,26,32,81.3,7,29,36,20,8,2,16,27,-5
"
DET

",12/01/2017,DET @ WAS,L,239,91,35,79,44.3,9,30,30.0,12,19,63.2,4,28,32,20,7,5,15,21,-18
"
DET

",11/29/2017,DET vs. PHX,W,240,131,51,89,57.3,13,28,46.4,16,21,76.2,5,39,44,31,11,6,19,22,24
"
DET

",11/27/2017,DET @ BOS,W,241,118,44,85,51.8,11,25,44.0,19,23,82.6,8,32,40,26,8,2,8,19,10
"
DET

",11/24/2017,DET @ OKC,W,240,99,39,84,46.4,14,37,37.8,7,9,77.8,8,35,43,22,6,5,20,17,1
"
DET

",11/20/2017,DET vs. CLE,L,240,88,34,77,44.2,13,30,43.3,7,13,53.8,7,27,34,23,7,2,14,19,-28
"
DET

",11/19/2017,DET @ MIN,W,240,100,39,83,47.0,8,25,32.0,14,20,70.0,11,26,37,25,10,2,19,21,3
"
DET

",11/17/2017,DET @ IND,L,241,100,39,93,41.9,14,33,42.4,8,10,80.0,11,32,43,20,4,8,11,18,-7
"
DET

",11/15/2017,DET @ MIL,L,240,95,30,85,35.3,15,37,40.5,20,23,87.0,17,28,45,23,7,3,16,20,-4
"
DET

",11/12/2017,DET vs. MIA,W,241,112,42,87,48.3,14,28,50.0,14,20,70.0,11,43,54,24,2,5,13,17,9
"
DET

",11/10/2017,DET vs. ATL,W,240,111,39,89,43.8,12,30,40.0,21,27,77.8,20,31,51,23,7,5,17,18,7
"
DET

",11/08/2017,DET vs. IND,W,241,114,43,83,51.8,12,27,44.4,16,25,64.0,8,42,50,25,3,5,15,22,17
"
DET

",11/04/2017,DET vs. SAC,W,240,108,40,79,50.6,13,24,54.2,15,22,68.2,8,27,35,28,10,3,15,19,9
"
DET

",11/03/2017,DET vs. MIL,W,240,105,37,78,47.4,8,26,30.8,23,28,82.1,7,32,39,21,10,4,12,11,9
"
DET

",10/31/2017,DET @ LAL,L,239,93,41,94,43.6,10,33,30.3,1,3,33.3,10,34,44,21,7,3,13,11,-20
"
DET

",10/29/2017,DET @ GSW,W,240,115,43,93,46.2,12,27,44.4,17,17,100.0,17,20,37,22,16,0,13,9,8
"
DET

",10/28/2017,DET @ LAC,W,241,95,36,88,40.9,9,28,32.1,14,21,66.7,12,38,50,16,11,6,12,20,-0.6
"
DET

",10/25/2017,DET vs. MIN,W,242,122,48,92,52.2,15,34,44.1,11,17,64.7,12,35,47,32,7,3,15,22,21
"
DET

",10/23/2017,DET vs. PHI,L,241,86,33,85,38.8,6,30,20.0,14,19,73.7,9,30,39,14,5,2,14,21,-11.2
"
DET

",10/21/2017,DET @ NYK,W,239,111,44,91,48.4,9,30,30.0,14,15,93.3,15,28,43,21,5,2,12,25,2
"
DET

",10/20/2017,DET @ WAS,L,240,111,43,87,49.4,10,23,43.5,15,20,75.0,10,23,33,19,12,1,19,32,-4
"
DET

",10/18/2017,DET vs. CHA,W,239,102,41,96,42.7,9,26,34.6,11,12,91.7,9,38,47,24,14,3,8,21,12
"
DET

",10/13/2017,DET @ MIL,L,240,103,38,91,41.8,9,23,39.1,18,25,72.0,19,31,50,24,6,2,15,16,-4
"
DET

",10/10/2017,DET @ TOR,L,238,94,37,84,44.0,5,17,29.4,15,17,88.2,7,27,34,19,8,3,13,21,-22
"
DET

",10/09/2017,DET vs. IND,W,240,107,43,87,49.4,10,26,38.5,11,17,64.7,10,27,37,28,8,3,7,14,10
"
DET

",10/06/2017,DET vs. ATL,W,240,109,45,92,48.9,11,25,44.0,8,11,72.7,14,43,57,26,6,3,12,15,22
"
DET

",10/04/2017,DET vs. CHA,L,240,104,39,83,47.0,8,28,28.6,18,26,69.2,7,41,48,21,7,4,19,27,-5
"
DET

",04/12/2017,DET @ ORL,L,241,109,41,106,38.7,11,36,30.6,16,28,57.1,17,36,53,20,6,3,8,15,-4
"
DET

",04/10/2017,DET vs. WAS,L,240,101,43,94,45.7,10,26,38.5,5,5,100.0,6,30,36,22,9,2,10,18,-4
"
DET

",04/09/2017,DET @ MEM,W,240,103,39,82,47.6,14,28,50.0,11,16,68.8,15,31,46,21,8,2,18,12,13
"
DET

",04/07/2017,DET @ HOU,W,240,114,46,108,42.6,9,26,34.6,13,16,81.3,18,37,55,27,5,1,6,17,5
"
DET

",04/05/2017,DET vs. TOR,L,240,102,42,81,51.9,7,21,33.3,11,18,61.1,12,33,45,22,5,4,14,21,-3
"
DET

",03/31/2017,DET @ MIL,L,264,105,44,97,45.4,7,30,23.3,10,16,62.5,13,41,54,25,8,4,12,27,-3
"
DET

",03/30/2017,DET vs. BKN,W,241,90,36,86,41.9,7,18,38.9,11,17,64.7,11,42,53,20,6,7,16,11,1
"
DET

",03/28/2017,DET vs. MIA,L,241,96,36,85,42.4,8,27,29.6,16,21,76.2,16,35,51,20,7,5,12,23,-1
"
DET

",03/27/2017,DET @ NYK,L,240,95,36,84,42.9,9,23,39.1,14,21,66.7,12,30,42,18,4,3,18,16,-14
"
DET

",03/24/2017,DET @ ORL,L,241,87,34,96,35.4,2,22,9.1,17,20,85.0,12,38,50,21,3,3,8,17,-28
"
DET

",03/22/2017,DET @ CHI,L,240,95,39,88,44.3,7,20,35.0,10,17,58.8,16,28,44,18,6,1,15,17,-22
"
DET

",03/21/2017,DET @ BKN,L,240,96,40,92,43.5,5,23,21.7,11,16,68.8,10,41,51,17,8,8,6,17,-2
"
DET

",03/19/2017,DET vs. PHX,W,240,112,40,92,43.5,12,25,48.0,20,30,66.7,12,51,63,26,2,4,12,21,17
"
DET

",03/17/2017,DET vs. TOR,L,240,75,29,83,34.9,3,20,15.0,14,21,66.7,12,37,49,14,5,5,12,17,-12
"
DET

",03/15/2017,DET vs. UTA,L,239,83,36,86,41.9,3,13,23.1,8,12,66.7,8,31,39,14,6,4,7,18,-14
"
DET

",03/14/2017,DET @ CLE,L,240,96,37,99,37.4,4,19,21.1,18,19,94.7,16,29,45,20,6,1,8,19,-32
"
DET

",03/11/2017,DET vs. NYK,W,241,112,46,96,47.9,9,27,33.3,11,19,57.9,14,37,51,27,14,6,7,15,20
