,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,FGM,FGA,FGM PG,FGA PG,FG%,GP RANK,W RANK,L RANK,MIN RANK,OFFRTG RANK,DEFRTG RANK,NETRTG RANK,AST% RANK,AST/TO RANK,AST Ratio RANK,OREB% RANK,DREB% RANK,REB% RANK,TO Ratio RANK,eFG% RANK,TS% RANK,USG% RANK,PACE RANK,PIE RANK,FGM RANK,FGA RANK,FGM PG RANK,FGA PG RANK,FG% RANK
,Malcolm Delaney,ATL,28,20,2,18,18.3,99.5,108.2,-8.7,15.7,1.73,23.3,1.6,9.3,5.4,13.5,44.5,48.6,15.4,98.67,5.7
,Dennis Schroder,ATL,24,25,6,19,31.9,104.9,114.4,-9.4,34.6,2.45,22.6,2.7,7.6,5.1,9.2,48.8,52.6,30.1,99.77,11.8
,Josh Magette,ATL,28,8,2,6,8.0,95.1,92.2,2.9,41.5,8.50,51.9,1.8,8.9,5.3,6.1,37.5,47.2,11.3,96.22,10.9
,Ersan Ilyasova,ATL,30,16,5,11,22.4,104.4,108.7,-4.3,7.7,2.25,11.6,7.1,17.2,12.0,5.1,51.2,53.2,17.2,98.95,9.0
,John Collins,ATL,20,21,4,17,23.1,103.3,107.5,-4.3,5.8,0.55,7.0,15.0,19.9,17.4,12.8,59.2,62.2,20.3,99.60,11.3
,DeAndre' Bembry,ATL,23,13,4,9,18.0,103.4,108.7,-5.3,14.0,0.81,16.2,2.5,15.0,8.7,20.1,42.6,45.5,20.6,101.11,4.9
,Dewayne Dedmon,ATL,28,20,4,16,24.3,101.7,109.1,-7.4,9.3,0.80,12.2,9.3,26.4,18.0,15.2,64.7,66.1,18.6,99.41,12.5
,Luke Babbitt,ATL,28,24,5,19,19.1,107.0,110.2,-3.2,6.0,1.36,10.9,1.0,15.6,8.3,8.1,64.2,64.7,14.7,100.80,7.9
,Kent Bazemore,ATL,28,27,6,21,28.7,102.3,108.5,-6.2,19.6,1.44,20.3,1.8,16.5,9.1,14.1,47.1,52.8,22.0,99.98,10.1
,Nicolas Brussino,ATL,24,4,0,4,2.5,114.3,40.5,73.8,0.0,0.00,0.0,0.0,23.1,16.7,0.0,0.0,0.0,8.7,100.84,4.1
,Marco Belinelli,ATL,31,27,6,21,25.4,103.1,110.4,-7.3,14.3,2.20,17.0,0.8,10.0,5.2,7.7,50.0,55.3,19.9,101.27,10.0
,Taurean Prince,ATL,23,27,6,21,31.2,103.5,109.5,-6.1,12.2,1.17,15.2,2.8,16.5,9.6,13.0,52.7,54.8,19.9,100.21,9.1
,Miles Plumlee,ATL,29,8,2,6,14.1,107.9,97.9,10.0,5.4,0.40,9.0,9.1,16.7,13.0,22.5,53.8,54.3,16.2,95.91,7.1
,Tyler Dorsey,ATL,21,9,0,9,5.9,101.0,89.6,11.4,9.7,0.75,11.6,2.4,15.2,9.1,15.5,47.1,50.6,19.5,96.42,7.6
,Tyler Cavanaugh,ATL,23,18,5,13,14.1,108.5,109.8,-1.3,11.5,2.63,19.8,9.3,19.7,14.3,7.5,59.7,61.5,14.7,100.78,8.6
,Mike Muscala,ATL,26,9,1,8,22.4,91.6,106.3,-14.8,7.3,1.13,12.3,5.4,15.5,10.3,10.9,47.1,52.4,13.7,103.39,7.0
,Isaiah Taylor,ATL,23,20,4,16,16.2,108.9,101.2,7.6,19.3,2.05,24.3,1.7,7.6,4.8,11.9,48.5,51.9,17.8,101.80,7.2
,Nik Stauskas,BKN,24,6,3,3,7.5,78.5,95.4,-16.9,3.8,0.25,10.1,0.0,2.2,1.1,40.5,25.0,41.0,8.6,100.75,0.0
,DeMarre Carroll,BKN,31,24,11,13,29.5,101.8,104.3,-2.5,8.8,1.14,10.8,5.6,19.4,12.4,9.5,49.6,54.3,19.3,105.07,10.5
,Sean Kilpatrick,BKN,27,16,6,10,11.4,94.7,107.1,-12.4,13.9,0.94,11.9,0.5,19.3,9.4,12.7,35.1,41.4,25.0,103.30,6.6
,Tyler Zeller,BKN,27,18,7,11,18.8,104.8,102.8,2.0,5.4,0.55,7.6,8.8,16.5,12.7,14.0,62.7,63.7,18.2,101.45,10.9
,Jarrett Allen,BKN,19,18,8,10,16.6,101.3,108.3,-7.0,4.8,1.13,9.3,9.2,14.9,12.0,8.2,55.8,59.4,12.5,103.71,9.1
,Allen Crabbe,BKN,25,23,9,14,27.6,103.3,104.9,-1.6,8.0,1.26,10.7,1.7,13.1,7.4,8.5,51.9,55.0,18.3,106.69,8.3
,Joe Harris,BKN,26,24,11,13,23.9,108.4,108.9,-0.5,7.8,1.41,12.2,2.0,10.9,6.4,8.6,58.7,59.9,16.2,103.83,7.5
,Spencer Dinwiddie,BKN,24,25,11,14,26.5,107.9,104.2,3.7,37.2,5.00,33.6,2.9,10.3,6.6,6.7,48.5,52.4,21.1,101.23,11.9
,D'Angelo Russell,BKN,21,12,4,8,27.7,100.5,109.8,-9.3,38.9,1.42,19.5,2.7,15.0,8.6,13.8,50.7,53.9,33.5,111.00,13.3
,Jahlil Okafor,BKN,21,2,1,1,12.6,90.6,124.3,-33.7,6.7,0.33,6.8,16.0,27.8,20.9,20.3,44.4,46.5,22.5,108.40,2.0
,Quincy Acy,BKN,27,21,10,11,17.4,103.6,105.9,-2.3,5.1,0.59,9.1,3.1,19.7,11.6,15.3,43.8,49.3,15.5,101.87,4.9
,Jacob Wiley,BKN,23,5,1,4,6.7,94.3,81.5,12.8,9.1,0.00,29.1,5.6,23.1,14.7,0.0,37.5,41.0,6.2,100.77,8.4
,Caris LeVert,BKN,23,26,11,15,26.4,101.9,107.8,-5.9,22.4,1.71,22.3,1.9,12.5,7.1,13.1,47.8,51.2,21.0,104.23,8.8
,Timofey Mozgov,BKN,31,19,8,11,13.7,90.8,105.7,-14.9,1.9,0.13,3.1,9.5,21.2,15.0,24.1,59.5,61.1,14.9,105.92,8.0
,Jeremy Lin,BKN,29,1,0,1,25.2,108.9,120.7,-11.8,23.5,1.33,18.1,0.0,0.0,0.0,13.6,45.8,59.7,26.1,119.62,7.1
,Isaiah Whitehead,BKN,22,9,2,7,12.1,95.0,99.5,-4.4,28.8,0.83,16.2,2.7,13.3,8.0,19.4,50.0,52.9,29.8,101.60,10.1
,Rondae Hollis-Jefferson,BKN,22,23,10,13,27.6,104.5,107.2,-2.7,10.9,1.34,11.8,5.0,17.1,10.9,8.8,50.2,57.7,21.2,105.08,12.5
,Gordon Hayward,BOS,27,1,0,1,5.3,100.0,87.2,12.8,0.0,0.00,0.0,0.0,20.0,10.0,0.0,50.0,50.0,15.4,102.03,4.8
,Al Horford,BOS,31,27,21,6,32.7,110.4,100.1,10.3,24.4,2.55,28.4,4.9,21.2,13.7,11.1,59.8,62.2,18.5,97.12,15.2
,Jabari Bird,BOS,23,3,2,1,7.1,122.0,92.9,29.2,6.7,0.00,13.9,0.0,9.1,5.1,0.0,25.0,40.3,13.0,95.23,4.8
