Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Kobi Simmons,MEM,7,3,0.4,11.5%,1.33,4,0.6,2,0.3,2,0.3,100.0,100.0,0.0%,33.3%,0.0%,0.0%,66.7%,
Jamel Artis,ORL,5,2,0.4,10.5%,0.00,0,0.0,0,0.0,1,0.2,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Torrey Craig,DEN,8,1,0.1,2.6%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Reggie Bullock,DET,19,2,0.1,2.0%,1.00,2,0.1,1,0.1,1,0.1,100.0,100.0,0.0%,50.0%,0.0%,0.0%,50.0%,
Kyle Collinsworth,DAL,2,1,0.5,25.0%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Danuel House,PHX,7,2,0.3,6.3%,0.00,0,0.0,0,0.0,2,0.3,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Isaiah Canaan,PHX,6,4,0.7,5.7%,1.50,6,1.0,1,0.2,2,0.3,50.0,50.0,50.0%,0.0%,25.0%,0.0%,75.0%,
Kawhi Leonard,SAS,5,2,0.4,3.3%,0.00,0,0.0,0,0.0,1,0.2,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Davis Bertans,SAS,31,5,0.2,4.2%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,80.0%,0.0%,0.0%,0.0%,
Wesley Iwundu,ORL,17,1,0.1,1.4%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Zach Collins,POR,17,9,0.5,10.3%,0.11,1,0.1,0,0.0,1,0.1,0.0,0.0,11.1%,77.8%,0.0%,0.0%,11.1%,
C.J. Williams,LAC,21,4,0.2,3.8%,1.00,4,0.2,0,0.0,1,0.0,0.0,0.0,50.0%,25.0%,0.0%,0.0%,50.0%,
Malik Beasley,DEN,30,3,0.1,2.5%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,66.7%,0.0%,0.0%,0.0%,
Nikola Mirotic,CHI,11,8,0.7,5.0%,0.75,6,0.5,1,0.1,2,0.2,50.0,75.0,50.0%,25.0%,0.0%,0.0%,37.5%,
Royce ONeale,UTA,24,6,0.3,6.6%,1.17,7,0.3,2,0.1,2,0.1,100.0,125.0,33.3%,33.3%,0.0%,0.0%,66.7%,
Omer Asik,NOP,7,1,0.1,7.1%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
