Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Jamal Murray,DEN,35,1,0.0,0.2%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
T.J. McConnell,PHI,28,1,0.0,0.4%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Donovan Mitchell,UTA,34,1,0.0,0.2%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Eric Bledsoe,MIL,22,2,0.1,0.5%,2.50,5,0.2,1,0.0,1,0.0,100.0,100.0,100.0%,0.0%,50.0%,50.0%,100.0%,
Mario Hezonja,ORL,28,2,0.1,1.2%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Kyle Collinsworth,DAL,2,1,0.5,25.0%,0.00,0,0.0,0,0.0,1,0.5,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jamil Wilson,LAC,15,1,0.1,1.1%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Terry Rozier III,BOS,38,1,0.0,0.3%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Troy Daniels,PHX,36,1,0.0,0.4%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Jordan Mickey,MIA,13,5,0.4,6.7%,1.00,5,0.4,1,0.1,2,0.2,50.0,50.0,40.0%,20.0%,20.0%,0.0%,60.0%,
Jerian Grant,CHI,34,1,0.0,0.3%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Davis Bertans,SAS,31,3,0.1,2.5%,1.33,4,0.1,1,0.0,1,0.0,100.0,100.0,66.7%,0.0%,33.3%,0.0%,100.0%,
Zach Collins,POR,17,17,1.0,19.5%,0.47,8,0.5,4,0.2,12,0.7,33.3,33.3,5.9%,23.5%,0.0%,0.0%,23.5%,3.0
Kawhi Leonard,SAS,5,3,0.6,4.9%,0.67,2,0.4,1,0.2,3,0.6,33.3,33.3,0.0%,0.0%,0.0%,0.0%,33.3%,
Nick Young,GSW,33,2,0.1,1.0%,2.00,4,0.1,2,0.1,2,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Omer Asik,NOP,7,1,0.1,7.1%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Tomas Satoransky,WAS,26,3,0.1,2.2%,2.00,6,0.2,3,0.1,3,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Deyonta Davis,MEM,22,2,0.1,2.5%,2.50,5,0.2,2,0.1,2,0.1,100.0,100.0,50.0%,0.0%,50.0%,50.0%,100.0%,
Nikola Mirotic,CHI,11,35,3.2,22.0%,0.97,34,3.1,13,1.2,29,2.6,44.8,44.8,17.1%,2.9%,17.1%,2.9%,48.6%,73.1
DeMarre Carroll,BKN,31,1,0.0,0.2%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Robert Covington,PHI,31,1,0.0,0.2%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Michael Carter-Williams,CHA,23,2,0.1,1.3%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Miles Plumlee,ATL,15,5,0.3,6.3%,0.60,3,0.2,1,0.1,4,0.3,25.0,25.0,20.0%,0.0%,20.0%,0.0%,40.0%,
Jordan Bell,GSW,29,8,0.3,5.7%,0.75,6,0.2,3,0.1,5,0.2,60.0,60.0,0.0%,37.5%,0.0%,0.0%,37.5%,
Montrezl Harrell,LAC,27,46,1.7,27.5%,0.89,41,1.5,18,0.7,39,1.4,46.2,46.2,8.7%,8.7%,8.7%,2.2%,45.7%,59.0
JaKarr Sampson,SAC,6,3,0.5,12.0%,0.67,2,0.3,1,0.2,2,0.3,50.0,50.0,0.0%,33.3%,0.0%,0.0%,33.3%,
Andre Roberson,OKC,33,1,0.0,0.6%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Trey Lyles,DEN,30,20,0.7,8.5%,0.85,17,0.6,6,0.2,15,0.5,40.0,40.0,20.0%,5.0%,20.0%,0.0%,45.0%,53.0
Richaun Holmes,PHI,18,3,0.2,2.4%,0.67,2,0.1,1,0.1,2,0.1,50.0,50.0,0.0%,33.3%,0.0%,0.0%,33.3%,
Frank Ntilikina,NYK,31,2,0.1,0.8%,1.00,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Guillermo Hernangomez,NYK,15,23,1.5,26.7%,0.43,10,0.7,5,0.3,14,0.9,35.7,35.7,8.7%,30.4%,8.7%,0.0%,21.7%,2.2
