Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Nik Stauskas,BKN,7,1,0.1,1.9%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jamel Artis,ORL,5,1,0.2,5.3%,2.00,2,0.4,1,0.2,1,0.2,100.0,100.0,100.0%,0.0%,100.0%,100.0%,100.0%,
Torrey Craig,DEN,8,3,0.4,7.9%,2.00,6,0.8,2,0.3,2,0.3,100.0,100.0,33.3%,0.0%,33.3%,0.0%,100.0%,
Kobi Simmons,MEM,7,2,0.3,7.7%,2.00,4,0.6,1,0.1,1,0.1,100.0,100.0,50.0%,0.0%,0.0%,0.0%,100.0%,
Rajon Rondo,NOP,20,1,0.1,0.6%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Davis Bertans,SAS,31,2,0.1,1.7%,1.00,2,0.1,1,0.0,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Milos Teodosic,LAC,9,1,0.1,1.0%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Zach Collins,POR,17,9,0.5,10.3%,0.78,7,0.4,3,0.2,6,0.4,50.0,50.0,11.1%,22.2%,11.1%,0.0%,44.4%,
Jawun Evans,LAC,26,1,0.0,0.5%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Rashad Vaughn,MIL,16,1,0.1,1.9%,1.00,1,0.1,0,0.0,0,0.0,0.0,0.0,100.0%,0.0%,100.0%,0.0%,100.0%,
Norman Powell,TOR,29,1,0.0,0.4%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Ron Baker,NYK,15,1,0.1,1.6%,2.00,2,0.1,1,0.1,1,0.1,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
C.J. Williams,LAC,21,3,0.1,2.9%,1.33,4,0.2,2,0.1,3,0.1,66.7,66.7,0.0%,0.0%,0.0%,0.0%,66.7%,
Wesley Iwundu,ORL,17,4,0.2,5.7%,0.50,2,0.1,1,0.1,4,0.2,25.0,25.0,0.0%,0.0%,0.0%,0.0%,25.0%,
Kawhi Leonard,SAS,5,1,0.2,1.6%,2.00,2,0.4,1,0.2,1,0.2,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Jason Smith,WAS,15,4,0.3,5.6%,0.50,2,0.1,1,0.1,4,0.3,25.0,25.0,0.0%,0.0%,0.0%,0.0%,25.0%,
