Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Malcom Delaney,ATL,26,1,0.0,0.6%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jamal Murray,DEN,35,1,0.0,0.2%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Jamel Artis,ORL,5,1,0.2,5.3%,0.00,0,0.0,0,0.0,1,0.2,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
C.J. Williams,LAC,21,1,0.0,1.0%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Cory Joseph,IND,35,1,0.0,0.3%,3.00,3,0.1,1,0.0,1,0.0,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Nick Young,GSW,33,2,0.1,1.0%,1.50,3,0.1,1,0.0,2,0.1,50.0,75.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Jose Calderon,CLE,26,1,0.0,0.9%,3.00,3,0.1,0,0.0,0,0.0,0.0,0.0,100.0%,0.0%,100.0%,0.0%,100.0%,
Zach Collins,POR,17,13,0.8,14.9%,1.23,16,0.9,6,0.4,12,0.7,50.0,62.5,7.7%,0.0%,7.7%,0.0%,53.8%,73.3
Justin Holiday,CHI,33,1,0.0,0.2%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Jonathon Simmons,ORL,35,1,0.0,0.2%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Patty Mills,SAS,35,2,0.1,0.6%,1.50,3,0.1,1,0.0,2,0.1,50.0,75.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Kelly Oubre Jr.,WAS,35,2,0.1,0.5%,1.50,3,0.1,1,0.0,2,0.1,50.0,75.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Wesley Johnson,LAC,28,1,0.0,0.5%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Marcus Smart,BOS,36,1,0.0,0.2%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Kyrie Irving,BOS,36,1,0.0,0.1%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Wayne Ellington,MIA,34,2,0.1,0.7%,2.50,5,0.1,2,0.1,2,0.1,100.0,125.0,0.0%,0.0%,0.0%,0.0%,100.0%,
DeAndre Liggins,MIL,29,1,0.0,1.3%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Treveon Graham,CHA,21,1,0.0,0.9%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Nikola Mirotic,CHI,11,7,0.6,4.4%,0.71,5,0.5,2,0.2,7,0.6,28.6,35.7,0.0%,0.0%,0.0%,0.0%,28.6%,
Michael Carter-Williams,CHA,23,1,0.0,0.6%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jordan Bell,GSW,29,18,0.6,12.9%,0.83,15,0.5,7,0.2,13,0.4,53.8,53.8,11.1%,22.2%,11.1%,5.6%,44.4%,16.6
Jamil Wilson,LAC,15,12,0.8,13.2%,2.08,25,1.7,8,0.5,11,0.7,72.7,109.1,8.3%,0.0%,8.3%,0.0%,75.0%,100.0
Montrezl Harrell,LAC,27,24,0.9,14.4%,1.63,39,1.4,16,0.6,19,0.7,84.2,84.2,20.8%,4.2%,20.8%,4.2%,79.2%,98.0
