Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Tyson Chandler,PHX,21,1,0.0,0.7%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Kawhi Leonard,SAS,1,1,1.0,8.3%,0.00,0,0.0,0,0.0,1,1.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Danuel House,PHX,1,2,2.0,50.0%,0.00,0,0.0,0,0.0,1,1.0,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Nikola Mirotic,CHI,3,13,4.3,35.1%,1.38,18,6.0,6,2.0,11,3.7,54.5,77.3,7.7%,7.7%,7.7%,0.0%,53.8%,95.7
Kyle Singler,OKC,3,9,3.0,56.3%,0.78,7,2.3,2,0.7,5,1.7,40.0,50.0,33.3%,22.2%,33.3%,11.1%,33.3%,
Quinn Cook,GSW,6,9,1.5,45.0%,1.00,9,1.5,3,0.5,8,1.3,37.5,50.0,11.1%,11.1%,11.1%,11.1%,33.3%,
Royce ONeale,UTA,17,22,1.3,36.1%,1.09,24,1.4,8,0.5,19,1.1,42.1,55.3,13.6%,0.0%,13.6%,0.0%,45.5%,68.2
Jamil Wilson,LAC,7,17,2.4,60.7%,0.94,16,2.3,6,0.9,16,2.3,37.5,50.0,0.0%,5.9%,0.0%,0.0%,35.3%,42.1
Jordan Bell,GSW,22,1,0.0,1.3%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Tyler Cavanaugh,ATL,18,31,1.7,36.5%,1.45,45,2.5,16,0.9,30,1.7,53.3,75.0,0.0%,3.2%,0.0%,0.0%,51.6%,97.8
Montrezl Harrell,LAC,19,5,0.3,5.4%,1.80,9,0.5,4,0.2,4,0.2,100.0,100.0,20.0%,20.0%,20.0%,20.0%,80.0%,
JaKarr Sampson,SAC,6,6,1.0,24.0%,1.17,7,1.2,3,0.5,5,0.8,60.0,70.0,0.0%,16.7%,0.0%,0.0%,50.0%,
Tony Parker,SAS,7,10,1.4,15.2%,0.60,6,0.9,3,0.4,7,1.0,42.9,42.9,10.0%,30.0%,10.0%,10.0%,30.0%,6.6
Trey Lyles,DEN,22,41,1.9,29.7%,1.44,59,2.7,20,0.9,35,1.6,57.1,77.1,7.3%,7.3%,7.3%,0.0%,56.1%,96.9
Sam Dekker,LAC,21,37,1.8,37.4%,0.41,15,0.7,6,0.3,36,1.7,16.7,20.8,0.0%,2.7%,0.0%,0.0%,16.2%,1.9
Guillermo Hernangomez,NYK,14,5,0.4,6.1%,0.40,2,0.1,1,0.1,4,0.3,25.0,25.0,0.0%,20.0%,0.0%,0.0%,20.0%,
Omer Asik,NOP,7,1,0.1,7.1%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jose Calderon,CLE,19,22,1.2,31.9%,1.68,37,1.9,12,0.6,21,1.1,57.1,83.3,4.5%,0.0%,4.5%,0.0%,59.1%,99.4
