Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Kawhi Leonard,SAS,1,2,2.0,16.7%,1.50,3,3.0,1,1.0,2,2.0,50.0,75.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Nikola Mirotic,CHI,3,2,0.7,5.4%,1.50,3,1.0,1,0.3,2,0.7,50.0,50.0,50.0%,0.0%,50.0%,50.0%,50.0%,
Quinn Cook,GSW,6,2,0.3,10.0%,2.50,5,0.8,2,0.3,2,0.3,100.0,125.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Royce ONeale,UTA,17,13,0.8,21.3%,0.85,11,0.6,3,0.2,10,0.6,30.0,35.0,15.4%,7.7%,15.4%,0.0%,38.5%,14.2
Miles Plumlee,ATL,8,1,0.1,2.4%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jamil Wilson,LAC,7,4,0.6,14.3%,1.50,6,0.9,2,0.3,4,0.6,50.0,75.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Montrezl Harrell,LAC,19,12,0.6,13.0%,1.25,15,0.8,6,0.3,9,0.5,66.7,66.7,16.7%,8.3%,0.0%,0.0%,66.7%,76.2
Tyler Cavanaugh,ATL,18,11,0.6,12.9%,1.09,12,0.7,4,0.2,8,0.4,50.0,62.5,9.1%,18.2%,9.1%,0.0%,45.5%,56.7
JaKarr Sampson,SAC,6,3,0.5,12.0%,1.67,5,0.8,2,0.3,3,0.5,66.7,83.3,0.0%,0.0%,0.0%,0.0%,66.7%,
Sam Dekker,LAC,21,20,1.0,20.2%,1.00,20,1.0,8,0.4,16,0.8,50.0,50.0,20.0%,0.0%,20.0%,0.0%,60.0%,37.8
Trey Lyles,DEN,22,11,0.5,8.0%,0.45,5,0.2,2,0.1,9,0.4,22.2,22.2,9.1%,18.2%,9.1%,9.1%,18.2%,1.0
Meyers Leonard,POR,11,3,0.3,5.9%,1.33,4,0.4,2,0.2,3,0.3,66.7,66.7,0.0%,0.0%,0.0%,0.0%,66.7%,
Tony Parker,SAS,7,3,0.4,4.5%,1.33,4,0.6,1,0.1,1,0.1,100.0,100.0,33.3%,33.3%,33.3%,0.0%,66.7%,
Noah Vonleh,POR,19,2,0.1,2.2%,1.00,2,0.1,1,0.1,2,0.1,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Deyonta Davis,MEM,14,5,0.4,9.8%,1.20,6,0.4,3,0.2,5,0.4,60.0,60.0,0.0%,0.0%,0.0%,0.0%,60.0%,
Guillermo Hernangomez,NYK,14,3,0.2,3.7%,2.00,6,0.4,3,0.2,3,0.2,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Bismack Biyombo,ORL,28,4,0.1,2.8%,1.25,5,0.2,2,0.1,3,0.1,66.7,66.7,25.0%,0.0%,25.0%,0.0%,75.0%,
Jose Calderon,CLE,19,4,0.2,5.8%,1.75,7,0.4,2,0.1,3,0.2,66.7,83.3,25.0%,0.0%,0.0%,0.0%,75.0%,
Joel Bolomboy,MIL,2,1,0.5,14.3%,2.00,2,1.0,1,0.5,1,0.5,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Juan Hernangomez,DEN,14,7,0.5,12.7%,1.29,9,0.6,4,0.3,5,0.4,80.0,90.0,0.0%,28.6%,0.0%,0.0%,57.1%,
Eric Moreland,DET,23,2,0.1,5.6%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,50.0%,0.0%,50.0%,0.0%,0.0%,
Channing Frye,CLE,26,6,0.2,5.8%,0.33,2,0.1,1,0.0,6,0.2,16.7,16.7,0.0%,0.0%,0.0%,0.0%,16.7%,
Rajon Rondo,NOP,14,28,2.0,21.4%,0.93,26,1.9,12,0.9,23,1.6,52.2,56.5,0.0%,17.9%,0.0%,0.0%,42.9%,27.2
Antonio Blakeney,CHI,11,17,1.5,18.3%,1.18,20,1.8,8,0.7,15,1.4,53.3,60.0,11.8%,5.9%,11.8%,5.9%,52.9%,66.0
Dakari Johnson,OKC,6,3,0.5,14.3%,1.67,5,0.8,1,0.2,1,0.2,100.0,100.0,66.7%,0.0%,66.7%,0.0%,100.0%,
JaMychal Green,MEM,15,19,1.3,12.6%,1.32,25,1.7,10,0.7,13,0.9,76.9,80.8,15.8%,15.8%,15.8%,0.0%,63.2%,84.0
Nicolas Batum,CHA,12,16,1.3,10.5%,0.94,15,1.3,6,0.5,12,1.0,50.0,54.2,6.3%,18.8%,6.3%,0.0%,43.8%,27.8
Omri Casspi,GSW,24,22,0.9,17.9%,1.55,34,1.4,11,0.5,15,0.6,73.3,80.0,31.8%,4.5%,31.8%,4.5%,72.7%,97.1
